gene,det_rate_hc,hc_mean_count,theta_glm,theta_vi,theta_lap,Z_Mean,Z_Std,valid,fail_reason
ENSG00000002549.14,0.9949799196787149,304.58734130859375,0.1,0.36342841386795044,3.8727188110351562,0.022111349,0.48736644,True,
ENSG00000002586.21,0.9839357429718876,1168.919677734375,0.1,0.27853381633758545,2.4400830268859863,0.14236589,0.9628541,True,
ENSG00000002587.11,0.4608433734939759,8.637550354003906,0.1,0.30061113834381104,1.0537973642349243,-0.12301359,0.6925376,True,
ENSG00000002726.22,0.1646586345381526,2.97389554977417,0.1,0.07221279293298721,0.9313433170318604,-0.10415712,0.5644314,True,
ENSG00000002745.13,0.34839357429718876,4.4357428550720215,0.1,0.23989374935626984,0.9691370725631714,-0.10435063,0.7766341,True,
ENSG00000002746.16,0.23293172690763053,1.7861446142196655,0.1,0.19993312656879425,0.8529449701309204,-0.12396832,0.5692315,False,Low_Count
ENSG00000002822.17,0.9859437751004017,207.15663146972656,0.1,0.4075646996498108,3.574404001235962,0.0011411618,0.43685043,True,
ENSG00000002834.20,0.998995983935743,1607.5321044921875,0.1,0.266401082277298,4.128737449645996,0.18442233,1.1915157,True,
ENSG00000002919.16,0.9367469879518072,86.580322265625,0.1,0.607253909111023,2.068635940551758,-0.015392501,0.54897577,True,
ENSG00000002933.10,0.678714859437751,27.574296951293945,0.1,0.38393810391426086,0.8580982685089111,-0.056484148,0.742639,True,
ENSG00000003056.9,0.9849397590361446,237.91867065429688,0.1,0.3986445665359497,3.848597288131714,0.0075338758,0.46460062,True,
ENSG00000003096.16,0.5763052208835341,10.11646556854248,0.1,0.37006014585494995,1.0224850177764893,-0.09606963,0.7079379,True,
ENSG00000003137.9,0.45582329317269077,8.377510070800781,0.1,0.23953503370285034,1.2143174409866333,-0.10854173,0.67160064,True,
ENSG00000003147.20,0.9799196787148594,153.38754272460938,0.1,0.48089683055877686,3.0456857681274414,-0.013115741,0.44783655,True,
ENSG00000003249.16,0.641566265060241,19.616466522216797,0.1,0.36722666025161743,0.9733462929725647,-0.08062645,0.6878786,True,
ENSG00000003393.17,0.9568273092369478,108.17570495605469,0.1,0.5471945405006409,2.3439273834228516,-0.014384748,0.48575008,True,
ENSG00000003400.17,0.9789156626506024,145.94578552246094,0.1,0.48518088459968567,3.5406274795532227,-0.008850551,0.44730282,True,
ENSG00000003402.22,1.0,1358.1566162109375,0.1,0.2663901150226593,4.083506107330322,0.13919699,1.1272118,True,
ENSG00000003436.17,0.9949799196787149,928.4237060546875,0.1,0.2906952500343323,3.9849374294281006,0.09435397,0.8299799,True,
ENSG00000003509.17,0.8373493975903614,29.947792053222656,0.1,0.6994011402130127,0.9279083013534546,-0.032863867,0.7406645,True,
ENSG00000003756.18,0.9959839357429718,703.5521850585938,0.1,0.29393839836120605,4.086655139923096,0.072327845,0.76942194,True,
ENSG00000003987.15,0.1646586345381526,2.105421781539917,0.1,0.10393615812063217,0.8788633942604065,-0.11231056,0.54945916,True,
ENSG00000003989.19,0.4046184738955823,6.330321311950684,0.1,0.2059651017189026,1.1568171977996826,-0.08679475,0.6484065,True,
ENSG00000004059.12,0.9869477911646586,416.5050048828125,0.1,0.3279167711734772,3.8782482147216797,0.057011772,0.57015043,True,
ENSG00000004139.15,0.8232931726907631,42.158634185791016,0.1,0.6186821460723877,0.9601797461509705,-0.073760465,0.6521154,True,
ENSG00000004142.13,0.9748995983935743,143.34437561035156,0.1,0.4977496266365051,3.194620132446289,-0.017888255,0.46706718,True,
ENSG00000004399.14,0.9588353413654619,200.34437561035156,0.1,0.40317586064338684,2.79232120513916,-0.001762227,0.5488149,True,
ENSG00000004455.19,0.9959839357429718,254.0240936279297,0.1,0.3827753961086273,3.9107472896575928,0.017282862,0.4591602,True,
ENSG00000004468.14,0.8353413654618473,39.030120849609375,0.1,0.6411914229393005,0.9231176972389221,-0.052279484,0.6923297,True,
